DateKey,Date,Year,Quarter,Month,MonthName,Day,DayOfWeek,DayName,WeekOfYear,IsWeekend
20080225,2008-02-25,2008,1,2,February,25,0,Monday,9,False
20080226,2008-02-26,2008,1,2,February,26,1,Tuesday,9,False
20080227,2008-02-27,2008,1,2,February,27,2,Wednesday,9,False
20080228,2008-02-28,2008,1,2,February,28,3,Thursday,9,False
20080229,2008-02-29,2008,1,2,February,29,4,Friday,9,False
20080301,2008-03-01,2008,1,3,March,1,5,Saturday,9,True
20080302,2008-03-02,2008,1,3,March,2,6,Sunday,9,True
20080303,2008-03-03,2008,1,3,March,3,0,Monday,10,False
20080304,2008-03-04,2008,1,3,March,4,1,Tuesday,10,False
20080305,2008-03-05,2008,1,3,March,5,2,Wednesday,10,False
20080306,2008-03-06,2008,1,3,March,6,3,Thursday,10,False
20080307,2008-03-07,2008,1,3,March,7,4,Friday,10,False
20080308,2008-03-08,2008,1,3,March,8,5,Saturday,10,True
20080309,2008-03-09,2008,1,3,March,9,6,Sunday,10,True
20080310,2008-03-10,2008,1,3,March,10,0,Monday,11,False
20080311,2008-03-11,2008,1,3,March,11,1,Tuesday,11,False
20080312,2008-03-12,2008,1,3,March,12,2,Wednesday,11,False
20080313,2008-03-13,2008,1,3,March,13,3,Thursday,11,False
20080314,2008-03-14,2008,1,3,March,14,4,Friday,11,False
20080315,2008-03-15,2008,1,3,March,15,5,Saturday,11,True
20080316,2008-03-16,2008,1,3,March,16,6,Sunday,11,True
20080317,2008-03-17,2008,1,3,March,17,0,Monday,12,False
20080318,2008-03-18,2008,1,3,March,18,1,Tuesday,12,False
20080319,2008-03-19,2008,1,3,March,19,2,Wednesday,12,False
20080320,2008-03-20,2008,1,3,March,20,3,Thursday,12,False
20080321,2008-03-21,2008,1,3,March,21,4,Friday,12,False
20080322,2008-03-22,2008,1,3,March,22,5,Saturday,12,True
20080323,2008-03-23,2008,1,3,March,23,6,Sunday,12,True
20080324,2008-03-24,2008,1,3,March,24,0,Monday,13,False
20080325,2008-03-25,2008,1,3,March,25,1,Tuesday,13,False
20080326,2008-03-26,2008,1,3,March,26,2,Wednesday,13,False
20080327,2008-03-27,2008,1,3,March,27,3,Thursday,13,False
20080328,2008-03-28,2008,1,3,March,28,4,Friday,13,False
20080329,2008-03-29,2008,1,3,March,29,5,Saturday,13,True
20080330,2008-03-30,2008,1,3,March,30,6,Sunday,13,True
20080331,2008-03-31,2008,1,3,March,31,0,Monday,14,False
20080401,2008-04-01,2008,2,4,April,1,1,Tuesday,14,False
20080402,2008-04-02,2008,2,4,April,2,2,Wednesday,14,False
20080403,2008-04-03,2008,2,4,April,3,3,Thursday,14,False
20080404,2008-04-04,2008,2,4,April,4,4,Friday,14,False
20080405,2008-04-05,2008,2,4,April,5,5,Saturday,14,True
20080406,2008-04-06,2008,2,4,April,6,6,Sunday,14,True
20080407,2008-04-07,2008,2,4,April,7,0,Monday,15,False
20080408,2008-04-08,2008,2,4,April,8,1,Tuesday,15,False
20080409,2008-04-09,2008,2,4,April,9,2,Wednesday,15,False
20080410,2008-04-10,2008,2,4,April,10,3,Thursday,15,False
20080411,2008-04-11,2008,2,4,April,11,4,Friday,15,False
20080412,2008-04-12,2008,2,4,April,12,5,Saturday,15,True
20080413,2008-04-13,2008,2,4,April,13,6,Sunday,15,True
20080414,2008-04-14,2008,2,4,April,14,0,Monday,16,False
20080415,2008-04-15,2008,2,4,April,15,1,Tuesday,16,False
20080416,2008-04-16,2008,2,4,April,16,2,Wednesday,16,False
20080417,2008-04-17,2008,2,4,April,17,3,Thursday,16,False
20080418,2008-04-18,2008,2,4,April,18,4,Friday,16,False
20080419,2008-04-19,2008,2,4,April,19,5,Saturday,16,True
20080420,2008-04-20,2008,2,4,April,20,6,Sunday,16,True
20080421,2008-04-21,2008,2,4,April,21,0,Monday,17,False
20080422,2008-04-22,2008,2,4,April,22,1,Tuesday,17,False
20080423,2008-04-23,2008,2,4,April,23,2,Wednesday,17,False
20080424,2008-04-24,2008,2,4,April,24,3,Thursday,17,False
20080425,2008-04-25,2008,2,4,April,25,4,Friday,17,False
20080426,2008-04-26,2008,2,4,April,26,5,Saturday,17,True
20080427,2008-04-27,2008,2,4,April,27,6,Sunday,17,True
20080428,2008-04-28,2008,2,4,April,28,0,Monday,18,False
20080429,2008-04-29,2008,2,4,April,29,1,Tuesday,18,False
20080430,2008-04-30,2008,2,4,April,30,2,Wednesday,18,False
20080501,2008-05-01,2008,2,5,May,1,3,Thursday,18,False
20080502,2008-05-02,2008,2,5,May,2,4,Friday,18,False
20080503,2008-05-03,2008,2,5,May,3,5,Saturday,18,True
20080504,2008-05-04,2008,2,5,May,4,6,Sunday,18,True
20080505,2008-05-05,2008,2,5,May,5,0,Monday,19,False
20080506,2008-05-06,2008,2,5,May,6,1,Tuesday,19,False
20080507,2008-05-07,2008,2,5,May,7,2,Wednesday,19,False
20080508,2008-05-08,2008,2,5,May,8,3,Thursday,19,False
20080509,2008-05-09,2008,2,5,May,9,4,Friday,19,False
20080510,2008-05-10,2008,2,5,May,10,5,Saturday,19,True
20080511,2008-05-11,2008,2,5,May,11,6,Sunday,19,True
20080512,2008-05-12,2008,2,5,May,12,0,Monday,20,False
20080513,2008-05-13,2008,2,5,May,13,1,Tuesday,20,False
20080514,2008-05-14,2008,2,5,May,14,2,Wednesday,20,False
20080515,2008-05-15,2008,2,5,May,15,3,Thursday,20,False
20080516,2008-05-16,2008,2,5,May,16,4,Friday,20,False
20080517,2008-05-17,2008,2,5,May,17,5,Saturday,20,True
20080518,2008-05-18,2008,2,5,May,18,6,Sunday,20,True
20080519,2008-05-19,2008,2,5,May,19,0,Monday,21,False
20080520,2008-05-20,2008,2,5,May,20,1,Tuesday,21,False
20080521,2008-05-21,2008,2,5,May,21,2,Wednesday,21,False
20080522,2008-05-22,2008,2,5,May,22,3,Thursday,21,False
20080523,2008-05-23,2008,2,5,May,23,4,Friday,21,False
20080524,2008-05-24,2008,2,5,May,24,5,Saturday,21,True
20080525,2008-05-25,2008,2,5,May,25,6,Sunday,21,True
20080526,2008-05-26,2008,2,5,May,26,0,Monday,22,False
20080527,2008-05-27,2008,2,5,May,27,1,Tuesday,22,False
20080528,2008-05-28,2008,2,5,May,28,2,Wednesday,22,False
20080529,2008-05-29,2008,2,5,May,29,3,Thursday,22,False
20080530,2008-05-30,2008,2,5,May,30,4,Friday,22,False
20080531,2008-05-31,2008,2,5,May,31,5,Saturday,22,True
20080601,2008-06-01,2008,2,6,June,1,6,Sunday,22,True
20080602,2008-06-02,2008,2,6,June,2,0,Monday,23,False
20080603,2008-06-03,2008,2,6,June,3,1,Tuesday,23,False
20080604,2008-06-04,2008,2,6,June,4,2,Wednesday,23,False
20080605,2008-06-05,2008,2,6,June,5,3,Thursday,23,False
20080606,2008-06-06,2008,2,6,June,6,4,Friday,23,False
20080607,2008-06-07,2008,2,6,June,7,5,Saturday,23,True
20080608,2008-06-08,2008,2,6,June,8,6,Sunday,23,True
20080609,2008-06-09,2008,2,6,June,9,0,Monday,24,False
20080610,2008-06-10,2008,2,6,June,10,1,Tuesday,24,False
20080611,2008-06-11,2008,2,6,June,11,2,Wednesday,24,False
20080612,2008-06-12,2008,2,6,June,12,3,Thursday,24,False
20080613,2008-06-13,2008,2,6,June,13,4,Friday,24,False
20080614,2008-06-14,2008,2,6,June,14,5,Saturday,24,True
20080615,2008-06-15,2008,2,6,June,15,6,Sunday,24,True
20080616,2008-06-16,2008,2,6,June,16,0,Monday,25,False
20080617,2008-06-17,2008,2,6,June,17,1,Tuesday,25,False
20080618,2008-06-18,2008,2,6,June,18,2,Wednesday,25,False
20080619,2008-06-19,2008,2,6,June,19,3,Thursday,25,False
20080620,2008-06-20,2008,2,6,June,20,4,Friday,25,False
20080621,2008-06-21,2008,2,6,June,21,5,Saturday,25,True
20080622,2008-06-22,2008,2,6,June,22,6,Sunday,25,True
20080623,2008-06-23,2008,2,6,June,23,0,Monday,26,False
20080624,2008-06-24,2008,2,6,June,24,1,Tuesday,26,False
20080625,2008-06-25,2008,2,6,June,25,2,Wednesday,26,False
20080626,2008-06-26,2008,2,6,June,26,3,Thursday,26,False
20080627,2008-06-27,2008,2,6,June,27,4,Friday,26,False
20080628,2008-06-28,2008,2,6,June,28,5,Saturday,26,True
20080629,2008-06-29,2008,2,6,June,29,6,Sunday,26,True
20080630,2008-06-30,2008,2,6,June,30,0,Monday,27,False
20080701,2008-07-01,2008,3,7,July,1,1,Tuesday,27,False
20080702,2008-07-02,2008,3,7,July,2,2,Wednesday,27,False
20080703,2008-07-03,2008,3,7,July,3,3,Thursday,27,False
20080704,2008-07-04,2008,3,7,July,4,4,Friday,27,False
20080705,2008-07-05,2008,3,7,July,5,5,Saturday,27,True
20080706,2008-07-06,2008,3,7,July,6,6,Sunday,27,True
20080707,2008-07-07,2008,3,7,July,7,0,Monday,28,False
20080708,2008-07-08,2008,3,7,July,8,1,Tuesday,28,False
20080709,2008-07-09,2008,3,7,July,9,2,Wednesday,28,False
20080710,2008-07-10,2008,3,7,July,10,3,Thursday,28,False
20080711,2008-07-11,2008,3,7,July,11,4,Friday,28,False
20080712,2008-07-12,2008,3,7,July,12,5,Saturday,28,True
20080713,2008-07-13,2008,3,7,July,13,6,Sunday,28,True
20080714,2008-07-14,2008,3,7,July,14,0,Monday,29,False
20080715,2008-07-15,2008,3,7,July,15,1,Tuesday,29,False
20080716,2008-07-16,2008,3,7,July,16,2,Wednesday,29,False
20080717,2008-07-17,2008,3,7,July,17,3,Thursday,29,False
20080718,2008-07-18,2008,3,7,July,18,4,Friday,29,False
20080719,2008-07-19,2008,3,7,July,19,5,Saturday,29,True
20080720,2008-07-20,2008,3,7,July,20,6,Sunday,29,True
20080721,2008-07-21,2008,3,7,July,21,0,Monday,30,False
20080722,2008-07-22,2008,3,7,July,22,1,Tuesday,30,False
20080723,2008-07-23,2008,3,7,July,23,2,Wednesday,30,False
20080724,2008-07-24,2008,3,7,July,24,3,Thursday,30,False
20080725,2008-07-25,2008,3,7,July,25,4,Friday,30,False
20080726,2008-07-26,2008,3,7,July,26,5,Saturday,30,True
20080727,2008-07-27,2008,3,7,July,27,6,Sunday,30,True
20080728,2008-07-28,2008,3,7,July,28,0,Monday,31,False
20080729,2008-07-29,2008,3,7,July,29,1,Tuesday,31,False
20080730,2008-07-30,2008,3,7,July,30,2,Wednesday,31,False
20080731,2008-07-31,2008,3,7,July,31,3,Thursday,31,False
20080801,2008-08-01,2008,3,8,August,1,4,Friday,31,False
20080802,2008-08-02,2008,3,8,August,2,5,Saturday,31,True
20080803,2008-08-03,2008,3,8,August,3,6,Sunday,31,True
20080804,2008-08-04,2008,3,8,August,4,0,Monday,32,False
20080805,2008-08-05,2008,3,8,August,5,1,Tuesday,32,False
20080806,2008-08-06,2008,3,8,August,6,2,Wednesday,32,False
20080807,2008-08-07,2008,3,8,August,7,3,Thursday,32,False
20080808,2008-08-08,2008,3,8,August,8,4,Friday,32,False
20080809,2008-08-09,2008,3,8,August,9,5,Saturday,32,True
20080810,2008-08-10,2008,3,8,August,10,6,Sunday,32,True
20080811,2008-08-11,2008,3,8,August,11,0,Monday,33,False
20080812,2008-08-12,2008,3,8,August,12,1,Tuesday,33,False
20080813,2008-08-13,2008,3,8,August,13,2,Wednesday,33,False
20080814,2008-08-14,2008,3,8,August,14,3,Thursday,33,False
20080815,2008-08-15,2008,3,8,August,15,4,Friday,33,False
20080816,2008-08-16,2008,3,8,August,16,5,Saturday,33,True
20080817,2008-08-17,2008,3,8,August,17,6,Sunday,33,True
20080818,2008-08-18,2008,3,8,August,18,0,Monday,34,False
20080819,2008-08-19,2008,3,8,August,19,1,Tuesday,34,False
20080820,2008-08-20,2008,3,8,August,20,2,Wednesday,34,False
20080821,2008-08-21,2008,3,8,August,21,3,Thursday,34,False
20080822,2008-08-22,2008,3,8,August,22,4,Friday,34,False
20080823,2008-08-23,2008,3,8,August,23,5,Saturday,34,True
20080824,2008-08-24,2008,3,8,August,24,6,Sunday,34,True
20080825,2008-08-25,2008,3,8,August,25,0,Monday,35,False
20080826,2008-08-26,2008,3,8,August,26,1,Tuesday,35,False
20080827,2008-08-27,2008,3,8,August,27,2,Wednesday,35,False
20080828,2008-08-28,2008,3,8,August,28,3,Thursday,35,False
20080829,2008-08-29,2008,3,8,August,29,4,Friday,35,False
20080830,2008-08-30,2008,3,8,August,30,5,Saturday,35,True
20080831,2008-08-31,2008,3,8,August,31,6,Sunday,35,True
20080901,2008-09-01,2008,3,9,September,1,0,Monday,36,False
20080902,2008-09-02,2008,3,9,September,2,1,Tuesday,36,False
20080903,2008-09-03,2008,3,9,September,3,2,Wednesday,36,False
20080904,2008-09-04,2008,3,9,September,4,3,Thursday,36,False
20080905,2008-09-05,2008,3,9,September,5,4,Friday,36,False
20080906,2008-09-06,2008,3,9,September,6,5,Saturday,36,True
20080907,2008-09-07,2008,3,9,September,7,6,Sunday,36,True
20080908,2008-09-08,2008,3,9,September,8,0,Monday,37,False
20080909,2008-09-09,2008,3,9,September,9,1,Tuesday,37,False
20080910,2008-09-10,2008,3,9,September,10,2,Wednesday,37,False
20080911,2008-09-11,2008,3,9,September,11,3,Thursday,37,False
20080912,2008-09-12,2008,3,9,September,12,4,Friday,37,False
20080913,2008-09-13,2008,3,9,September,13,5,Saturday,37,True
20080914,2008-09-14,2008,3,9,September,14,6,Sunday,37,True
20080915,2008-09-15,2008,3,9,September,15,0,Monday,38,False
20080916,2008-09-16,2008,3,9,September,16,1,Tuesday,38,False
20080917,2008-09-17,2008,3,9,September,17,2,Wednesday,38,False
20080918,2008-09-18,2008,3,9,September,18,3,Thursday,38,False
20080919,2008-09-19,2008,3,9,September,19,4,Friday,38,False
20080920,2008-09-20,2008,3,9,September,20,5,Saturday,38,True
20080921,2008-09-21,2008,3,9,September,21,6,Sunday,38,True
20080922,2008-09-22,2008,3,9,September,22,0,Monday,39,False
20080923,2008-09-23,2008,3,9,September,23,1,Tuesday,39,False
20080924,2008-09-24,2008,3,9,September,24,2,Wednesday,39,False
20080925,2008-09-25,2008,3,9,September,25,3,Thursday,39,False
20080926,2008-09-26,2008,3,9,September,26,4,Friday,39,False
20080927,2008-09-27,2008,3,9,September,27,5,Saturday,39,True
20080928,2008-09-28,2008,3,9,September,28,6,Sunday,39,True
20080929,2008-09-29,2008,3,9,September,29,0,Monday,40,False
20080930,2008-09-30,2008,3,9,September,30,1,Tuesday,40,False
20081001,2008-10-01,2008,4,10,October,1,2,Wednesday,40,False
20081002,2008-10-02,2008,4,10,October,2,3,Thursday,40,False
20081003,2008-10-03,2008,4,10,October,3,4,Friday,40,False
20081004,2008-10-04,2008,4,10,October,4,5,Saturday,40,True
20081005,2008-10-05,2008,4,10,October,5,6,Sunday,40,True
20081006,2008-10-06,2008,4,10,October,6,0,Monday,41,False
20081007,2008-10-07,2008,4,10,October,7,1,Tuesday,41,False
20081008,2008-10-08,2008,4,10,October,8,2,Wednesday,41,False
20081009,2008-10-09,2008,4,10,October,9,3,Thursday,41,False
20081010,2008-10-10,2008,4,10,October,10,4,Friday,41,False
20081011,2008-10-11,2008,4,10,October,11,5,Saturday,41,True
20081012,2008-10-12,2008,4,10,October,12,6,Sunday,41,True
20081013,2008-10-13,2008,4,10,October,13,0,Monday,42,False
20081014,2008-10-14,2008,4,10,October,14,1,Tuesday,42,False
20081015,2008-10-15,2008,4,10,October,15,2,Wednesday,42,False
20081016,2008-10-16,2008,4,10,October,16,3,Thursday,42,False
20081017,2008-10-17,2008,4,10,October,17,4,Friday,42,False
20081018,2008-10-18,2008,4,10,October,18,5,Saturday,42,True
20081019,2008-10-19,2008,4,10,October,19,6,Sunday,42,True
20081020,2008-10-20,2008,4,10,October,20,0,Monday,43,False
20081021,2008-10-21,2008,4,10,October,21,1,Tuesday,43,False
20081022,2008-10-22,2008,4,10,October,22,2,Wednesday,43,False
20081023,2008-10-23,2008,4,10,October,23,3,Thursday,43,False
20081024,2008-10-24,2008,4,10,October,24,4,Friday,43,False
20081025,2008-10-25,2008,4,10,October,25,5,Saturday,43,True
20081026,2008-10-26,2008,4,10,October,26,6,Sunday,43,True
20081027,2008-10-27,2008,4,10,October,27,0,Monday,44,False
20081028,2008-10-28,2008,4,10,October,28,1,Tuesday,44,False
20081029,2008-10-29,2008,4,10,October,29,2,Wednesday,44,False
20081030,2008-10-30,2008,4,10,October,30,3,Thursday,44,False
20081031,2008-10-31,2008,4,10,October,31,4,Friday,44,False
20081101,2008-11-01,2008,4,11,November,1,5,Saturday,44,True
20081102,2008-11-02,2008,4,11,November,2,6,Sunday,44,True
20081103,2008-11-03,2008,4,11,November,3,0,Monday,45,False
20081104,2008-11-04,2008,4,11,November,4,1,Tuesday,45,False
20081105,2008-11-05,2008,4,11,November,5,2,Wednesday,45,False
20081106,2008-11-06,2008,4,11,November,6,3,Thursday,45,False
20081107,2008-11-07,2008,4,11,November,7,4,Friday,45,False
20081108,2008-11-08,2008,4,11,November,8,5,Saturday,45,True
20081109,2008-11-09,2008,4,11,November,9,6,Sunday,45,True
20081110,2008-11-10,2008,4,11,November,10,0,Monday,46,False
20081111,2008-11-11,2008,4,11,November,11,1,Tuesday,46,False
20081112,2008-11-12,2008,4,11,November,12,2,Wednesday,46,False
20081113,2008-11-13,2008,4,11,November,13,3,Thursday,46,False
20081114,2008-11-14,2008,4,11,November,14,4,Friday,46,False
20081115,2008-11-15,2008,4,11,November,15,5,Saturday,46,True
20081116,2008-11-16,2008,4,11,November,16,6,Sunday,46,True
20081117,2008-11-17,2008,4,11,November,17,0,Monday,47,False
20081118,2008-11-18,2008,4,11,November,18,1,Tuesday,47,False
20081119,2008-11-19,2008,4,11,November,19,2,Wednesday,47,False
20081120,2008-11-20,2008,4,11,November,20,3,Thursday,47,False
20081121,2008-11-21,2008,4,11,November,21,4,Friday,47,False
20081122,2008-11-22,2008,4,11,November,22,5,Saturday,47,True
20081123,2008-11-23,2008,4,11,November,23,6,Sunday,47,True
20081124,2008-11-24,2008,4,11,November,24,0,Monday,48,False
20081125,2008-11-25,2008,4,11,November,25,1,Tuesday,48,False
20081126,2008-11-26,2008,4,11,November,26,2,Wednesday,48,False
20081127,2008-11-27,2008,4,11,November,27,3,Thursday,48,False
20081128,2008-11-28,2008,4,11,November,28,4,Friday,48,False
20081129,2008-11-29,2008,4,11,November,29,5,Saturday,48,True
20081130,2008-11-30,2008,4,11,November,30,6,Sunday,48,True
20081201,2008-12-01,2008,4,12,December,1,0,Monday,49,False
20081202,2008-12-02,2008,4,12,December,2,1,Tuesday,49,False
20081203,2008-12-03,2008,4,12,December,3,2,Wednesday,49,False
20081204,2008-12-04,2008,4,12,December,4,3,Thursday,49,False
20081205,2008-12-05,2008,4,12,December,5,4,Friday,49,False
20081206,2008-12-06,2008,4,12,December,6,5,Saturday,49,True
20081207,2008-12-07,2008,4,12,December,7,6,Sunday,49,True
20081208,2008-12-08,2008,4,12,December,8,0,Monday,50,False
20081209,2008-12-09,2008,4,12,December,9,1,Tuesday,50,False
20081210,2008-12-10,2008,4,12,December,10,2,Wednesday,50,False
20081211,2008-12-11,2008,4,12,December,11,3,Thursday,50,False
20081212,2008-12-12,2008,4,12,December,12,4,Friday,50,False
20081213,2008-12-13,2008,4,12,December,13,5,Saturday,50,True
20081214,2008-12-14,2008,4,12,December,14,6,Sunday,50,True
20081215,2008-12-15,2008,4,12,December,15,0,Monday,51,False
20081216,2008-12-16,2008,4,12,December,16,1,Tuesday,51,False
20081217,2008-12-17,2008,4,12,December,17,2,Wednesday,51,False
20081218,2008-12-18,2008,4,12,December,18,3,Thursday,51,False
20081219,2008-12-19,2008,4,12,December,19,4,Friday,51,False
20081220,2008-12-20,2008,4,12,December,20,5,Saturday,51,True
20081221,2008-12-21,2008,4,12,December,21,6,Sunday,51,True
20081222,2008-12-22,2008,4,12,December,22,0,Monday,52,False
20081223,2008-12-23,2008,4,12,December,23,1,Tuesday,52,False
20081224,2008-12-24,2008,4,12,December,24,2,Wednesday,52,False
20081225,2008-12-25,2008,4,12,December,25,3,Thursday,52,False
20081226,2008-12-26,2008,4,12,December,26,4,Friday,52,False
20081227,2008-12-27,2008,4,12,December,27,5,Saturday,52,True
20081228,2008-12-28,2008,4,12,December,28,6,Sunday,52,True
20081229,2008-12-29,2008,4,12,December,29,0,Monday,1,False
20081230,2008-12-30,2008,4,12,December,30,1,Tuesday,1,False
20081231,2008-12-31,2008,4,12,December,31,2,Wednesday,1,False
20090101,2009-01-01,2009,1,1,January,1,3,Thursday,1,False
20090102,2009-01-02,2009,1,1,January,2,4,Friday,1,False
20090103,2009-01-03,2009,1,1,January,3,5,Saturday,1,True
20090104,2009-01-04,2009,1,1,January,4,6,Sunday,1,True
20090105,2009-01-05,2009,1,1,January,5,0,Monday,2,False
20090106,2009-01-06,2009,1,1,January,6,1,Tuesday,2,False
20090107,2009-01-07,2009,1,1,January,7,2,Wednesday,2,False
20090108,2009-01-08,2009,1,1,January,8,3,Thursday,2,False
20090109,2009-01-09,2009,1,1,January,9,4,Friday,2,False
20090110,2009-01-10,2009,1,1,January,10,5,Saturday,2,True
20090111,2009-01-11,2009,1,1,January,11,6,Sunday,2,True
20090112,2009-01-12,2009,1,1,January,12,0,Monday,3,False
20090113,2009-01-13,2009,1,1,January,13,1,Tuesday,3,False
20090114,2009-01-14,2009,1,1,January,14,2,Wednesday,3,False
20090115,2009-01-15,2009,1,1,January,15,3,Thursday,3,False
20090116,2009-01-16,2009,1,1,January,16,4,Friday,3,False
20090117,2009-01-17,2009,1,1,January,17,5,Saturday,3,True
20090118,2009-01-18,2009,1,1,January,18,6,Sunday,3,True
20090119,2009-01-19,2009,1,1,January,19,0,Monday,4,False
20090120,2009-01-20,2009,1,1,January,20,1,Tuesday,4,False
20090121,2009-01-21,2009,1,1,January,21,2,Wednesday,4,False
20090122,2009-01-22,2009,1,1,January,22,3,Thursday,4,False
20090123,2009-01-23,2009,1,1,January,23,4,Friday,4,False
20090124,2009-01-24,2009,1,1,January,24,5,Saturday,4,True
20090125,2009-01-25,2009,1,1,January,25,6,Sunday,4,True
20090126,2009-01-26,2009,1,1,January,26,0,Monday,5,False
20090127,2009-01-27,2009,1,1,January,27,1,Tuesday,5,False
20090128,2009-01-28,2009,1,1,January,28,2,Wednesday,5,False
20090129,2009-01-29,2009,1,1,January,29,3,Thursday,5,False
20090130,2009-01-30,2009,1,1,January,30,4,Friday,5,False
20090131,2009-01-31,2009,1,1,January,31,5,Saturday,5,True
20090201,2009-02-01,2009,1,2,February,1,6,Sunday,5,True
20090202,2009-02-02,2009,1,2,February,2,0,Monday,6,False
20090203,2009-02-03,2009,1,2,February,3,1,Tuesday,6,False
20090204,2009-02-04,2009,1,2,February,4,2,Wednesday,6,False
20090205,2009-02-05,2009,1,2,February,5,3,Thursday,6,False
20090206,2009-02-06,2009,1,2,February,6,4,Friday,6,False
20090207,2009-02-07,2009,1,2,February,7,5,Saturday,6,True
20090208,2009-02-08,2009,1,2,February,8,6,Sunday,6,True
20090209,2009-02-09,2009,1,2,February,9,0,Monday,7,False
20090210,2009-02-10,2009,1,2,February,10,1,Tuesday,7,False
20090211,2009-02-11,2009,1,2,February,11,2,Wednesday,7,False
20090212,2009-02-12,2009,1,2,February,12,3,Thursday,7,False
20090213,2009-02-13,2009,1,2,February,13,4,Friday,7,False
20090214,2009-02-14,2009,1,2,February,14,5,Saturday,7,True
20090215,2009-02-15,2009,1,2,February,15,6,Sunday,7,True
20090216,2009-02-16,2009,1,2,February,16,0,Monday,8,False
20090217,2009-02-17,2009,1,2,February,17,1,Tuesday,8,False
20090218,2009-02-18,2009,1,2,February,18,2,Wednesday,8,False
20090219,2009-02-19,2009,1,2,February,19,3,Thursday,8,False
20090220,2009-02-20,2009,1,2,February,20,4,Friday,8,False
20090221,2009-02-21,2009,1,2,February,21,5,Saturday,8,True
20090222,2009-02-22,2009,1,2,February,22,6,Sunday,8,True
20090223,2009-02-23,2009,1,2,February,23,0,Monday,9,False
